Level,Date and Time,Source,Event ID,Task Category,Log,Computer
Error,10/6/2017 8:24:04 AM,EventCreate,1,None,Application,djkvdihost347.jakarta01.com,JAKARTA01\srahma  
Error,10/6/2017 8:24:01 AM,Application Error,1000,(100),Application,djkvdihost347.jakarta01.com,"Faulting application name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Faulting module name: OUTLOOK.EXE, version: 15.0.4919.1001, time stamp: 0x58d20482
Exception code: 0xc0000005
Fault offset: 0x008924c4
Faulting process id: 0x1da8
Faulting application start time: 0x01d33e3bdb765109
Faulting application path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE
Report Id: 08112975-aa35-11e7-ad6f-0050569f08e4"
Error,10/6/2017 8:24:27 AM,EventCreate,1,None,Application,djkvdihost552.jakarta01.com,JAKARTA01\andrik  
Error,10/6/2017 8:23:52 AM,EventCreate,1,None,Application,djkvdihost409.jakarta01.com,JAKARTA01\augtiaji  
Error,10/6/2017 8:24:22 AM,EventCreate,1,None,Application,djkvdihost356.jakarta01.com,JAKARTA01\janu  
Error,10/6/2017 8:24:17 AM,EventCreate,1,None,Application,djkvdihost323.jakarta01.com,JAKARTA01\pahlevi  
Error,10/6/2017 8:24:02 AM,EventCreate,1,None,Application,djkvdihost180.jakarta01.com,JAKARTA01\WILLIAM  
Error,10/6/2017 8:23:26 AM,EventCreate,1,None,Application,djkvdihost236.jakarta01.com,JAKARTA01\elvina  
Error,10/6/2017 8:23:09 AM,EventCreate,1,None,Application,djkvdihost367.jakarta01.com,JAKARTA01\achmadr  
Error,10/6/2017 8:23:33 AM,EventCreate,1,None,Application,djkvdihost288.jakarta01.com,JAKARTA01\guestisd03  
Error,10/6/2017 8:23:31 AM,EventCreate,1,None,Application,djkvdihost181.jakarta01.com,JAKARTA01\chris  
Error,10/6/2017 8:22:52 AM,EventCreate,1,None,Application,djkvdihost236.jakarta01.com,JAKARTA01\elvina  
Error,10/6/2017 8:22:41 AM,EventCreate,1,None,Application,djkvdihost409.jakarta01.com,JAKARTA01\augtiaji  
Error,10/6/2017 8:23:06 AM,Application Error,1000,(100),Application,djkvdihost367.jakarta01.com,"Faulting application name: EXCEL.EXE, version: 15.0.4919.1000, time stamp: 0x58c7ab0f
Faulting module name: EXCEL.EXE, version: 15.0.4919.1000, time stamp: 0x58c7ab0f
Exception code: 0xc0000005
Fault offset: 0x0065cfd4
Faulting process id: 0x1c84
Faulting application start time: 0x01d33e3ea6c3ca03
Faulting application path: C:\Program Files\Microsoft Office\Office15\EXCEL.EXE
Faulting module path: C:\Program Files\Microsoft Office\Office15\EXCEL.EXE
Report Id: e7a46ea3-aa34-11e7-aebe-0050569f32b7"
Error,10/6/2017 8:23:05 AM,EventCreate,1,None,Application,djkvdihost809.jakarta01.com,JAKARTA01\dadang  
Error,10/6/2017 8:22:03 AM,EventCreate,1,None,Application,djkvdihost671.jakarta01.com,JAKARTA01\aditya ny  
Error,10/6/2017 8:21:58 AM,EventCreate,1,None,Application,djkvdihost671.jakarta01.com,JAKARTA01\aditya ny  
Error,10/6/2017 8:21:54 AM,EventCreate,1,None,Application,djkvdihost671.jakarta01.com,JAKARTA01\aditya ny  
Error,10/6/2017 8:22:03 AM,EventCreate,1,None,Application,djkvdihost571.jakarta01.com,JAKARTA01\brenda  
Error,10/6/2017 8:22:29 AM,EventCreate,1,None,Application,djkvdihost409.jakarta01.com,JAKARTA01\augtiaji  
Error,10/6/2017 8:22:26 AM,EventCreate,1,None,Application,djkvdihost405.jakarta01.com,JAKARTA01\ardiana  
Error,10/6/2017 8:21:48 AM,EventCreate,1,None,Application,djkvdihost882.jakarta01.com,JAKARTA01\khalid  
Error,10/6/2017 8:21:47 AM,Application Error,1000,(100),Application,djkvdihost882.jakarta01.com,"Faulting application name: iexplore.exe, version: 11.0.9600.18639, time stamp: 0x58d6bb0d
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x7ff1a238
Faulting process id: 0xf48
Faulting application start time: 0x01d33e3e5f17b65e
Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe
Faulting module path: unknown
Report Id: b840e137-aa34-11e7-8071-0050569f72cd"
Error,10/6/2017 8:21:50 AM,EventCreate,1,None,Application,djkvdihost671.jakarta01.com,JAKARTA01\aditya ny  
Error,10/6/2017 8:22:02 AM,EventCreate,1,None,Application,djkvdihost236.jakarta01.com,JAKARTA01\elvina  
Error,10/6/2017 8:21:46 AM,EventCreate,1,None,Application,djkvdihost416.jakarta01.com,JAKARTA01\clarissa  
Error,10/6/2017 8:21:28 AM,EventCreate,1,None,Application,djkvdihost488.jakarta01.com,JAKARTA01\widiasmara  
Error,10/6/2017 8:21:22 AM,EventCreate,1,None,Application,djkvdihost073.jakarta01.com,JAKARTA01\rudini  
Error,10/6/2017 8:20:33 AM,EventCreate,1,None,Application,djkvdihost571.jakarta01.com,JAKARTA01\brenda  
Error,10/6/2017 8:20:43 AM,EventCreate,1,None,Application,djkvdihost406.jakarta01.com,JAKARTA01\Winda  
Error,10/6/2017 8:20:09 AM,EventCreate,1,None,Application,djkvdihost622.jakarta01.com,JAKARTA01\rasyid  
Error,10/6/2017 8:20:07 AM,Application Error,1000,(100),Application,djkvdihost622.jakarta01.com,"Faulting application name: spoolsv.exe, version: 6.1.7601.17777, time stamp: 0x4f35efc3
Faulting module name: msvcrt.dll, version: 7.0.7601.17744, time stamp: 0x4eeaf722
Exception code: 0xc0000005
Fault offset: 0x0000aa14
Faulting process id: 0x63c
Faulting application start time: 0x01d33e3ff58e6663
Faulting application path: C:\Windows\System32\spoolsv.exe
Faulting module path: C:\Windows\system32\msvcrt.dll
Report Id: 7c7f8821-aa34-11e7-aba3-0050569f1e5e"
Error,10/6/2017 8:20:31 AM,EventCreate,1,None,Application,djkvdihost144.jakarta01.com,JAKARTA01\Dilla  
Error,10/6/2017 8:20:13 AM,EventCreate,1,None,Application,djkvdihost005.jakarta01.com,JAKARTA01\Arfilia  
Error,10/6/2017 8:19:39 AM,EventCreate,1,None,Application,djkvdihost310.jakarta01.com,JAKARTA01\Elisabeth  
